Atomic Ratio_sum,Atomic Ratio_max,Atomic Ratio_min,Atomic Ratio_diff,Atomic Number_sum,Atomic Number_max,Atomic Number_min,Atomic Number_diff,Atomic Weight_sum,Atomic Weight_max,Atomic Weight_min,Atomic Weight_diff,Atomic Radius_sum,Atomic Radius_max,Atomic Radius_min,Atomic Radius_diff,EN pauling_sum,EN pauling_max,EN pauling_min,EN pauling_diff,Valence Electron_sum,Valence Electron_max,Valence Electron_min,Valence Electron_diff,Ionization Energy_sum,Ionization Energy_max,Ionization Energy_min,Ionization Energy_diff,ARW_Atomic Number_sum,ARW_Atomic Number_max,ARW_Atomic Number_min,ARW_Atomic Number_diff,ARW_Atomic Weight_sum,ARW_Atomic Weight_max,ARW_Atomic Weight_min,ARW_Atomic Weight_diff,ARW_Atomic Radius_sum,ARW_Atomic Radius_max,ARW_Atomic Radius_min,ARW_Atomic Radius_diff,ARW_EN pauling_sum,ARW_EN pauling_max,ARW_EN pauling_min,ARW_EN pauling_diff,ARW_Valence Electron_sum,ARW_Valence Electron_max,ARW_Valence Electron_min,ARW_Valence Electron_diff,ARW_Ionization Energy_sum,ARW_Ionization Energy_max,ARW_Ionization Energy_min,ARW_Ionization Energy_diff,Temp. (K),Excitation source (nm),Monitoring energy (nm),Log10 Decay time ( log10[ns]),Formula
6,4,0.1,3.9,176,74,8,66,414.8707693,183.84,15.999,167.841,740,185,60,125,7.07,3.44,0,3.44,17,6,1,5,38.4047009,13.618054,5.1390767,8.4789773,129.4,74,1.1,72.9,297.3937769,183.84,2.298976928,181.5410231,555.5,240,18,222,16.353,13.76,0,13.76,31.9,24,0.1,23.9,68.30771633,54.472216,0.51390767,53.95830833,298,247,430,3.795880017,Na0.1Ca0.8WO4Eu0.1
6,4,0.05,3.95,176,74,8,66,414.8707693,183.84,15.999,167.841,740,185,60,125,7.07,3.44,0,3.44,17,6,1,5,38.4047009,13.618054,5.1390767,8.4789773,127.7,74,0.55,73.45,292.6538885,183.84,1.149488464,182.6905115,555.25,240,9,231,16.4065,13.76,0,13.76,31.95,24,0.05,23.95,68.37855877,54.472216,0.256953835,54.21526217,298,247,430,3.855519156,Na0.05Ca0.9WO4Eu0.05
6,4,0.04,3.96,176,74,8,66,414.8707693,183.84,15.999,167.841,740,185,60,125,7.07,3.44,0,3.44,17,6,1,5,38.4047009,13.618054,5.1390767,8.4789773,127.36,74,0.44,73.56,291.7059108,183.84,0.919590771,182.9204092,555.2,240,7.2,232.8,16.4172,13.76,0,13.76,31.96,24,0.04,23.96,68.39272725,54.472216,0.205563068,54.26665293,298,247,430,3.939019776,Na0.04Ca0.92WO4Eu0.04
6,4,0.03,3.97,176,74,8,66,414.8707693,183.84,15.999,167.841,740,185,60,125,7.07,3.44,0,3.44,17,6,1,5,38.4047009,13.618054,5.1390767,8.4789773,127.02,74,0.33,73.67,290.7579331,183.84,0.689693078,183.1503069,555.15,240,5.4,234.6,16.4279,13.76,0,13.76,31.97,24,0.03,23.97,68.40689574,54.472216,0.154172301,54.3180437,298,247,430,4.038222638,Na0.03Ca0.94WO4Eu0.03
6,4,0.02,3.98,176,74,8,66,414.8707693,183.84,15.999,167.841,740,185,60,125,7.07,3.44,0,3.44,17,6,1,5,38.4047009,13.618054,5.1390767,8.4789773,126.68,74,0.22,73.78,289.8099554,183.84,0.459795386,183.3802046,555.1,240,3.6,236.4,16.4386,13.76,0,13.76,31.98,24,0.02,23.98,68.42106423,54.472216,0.102781534,54.36943447,298,247,430,4.074084689,Na0.02Ca0.96WO4Eu0.02
6,4,0.01,3.99,176,74,8,66,414.8707693,183.84,15.999,167.841,740,185,60,125,7.07,3.44,0,3.44,17,6,1,5,38.4047009,13.618054,5.1390767,8.4789773,126.34,74,0.11,73.89,288.8619777,183.84,0.229897693,183.6101023,555.05,240,1.8,238.2,16.4493,13.76,0,13.76,31.99,24,0.01,23.99,68.43523271,54.472216,0.051390767,54.42082523,298,247,430,4.109240969,Na0.01Ca0.98WO4Eu0.01
2,0.995,0.005,0.99,131,63,11,52,301.6720693,151.964,22.98976928,128.9742307,785,220,180,40,2.7,0.95,0,0.95,6,2,1,1,20.84499244,5.6948672,4.34066354,1.35420366,56.325,37.81,0.315,37.495,125.4291669,87.1819,0.75982,86.42208,415.925,199,0.925,198.075,1.77625,0.94525,0,0.94525,3,1.99,0.01,1.98,10.11524965,5.666392864,0.028351925,5.638040939,298,365,434,2.974050903,K0.9Na0.1Sr0.995Eu0.005
2,0.995,0.005,0.99,131,63,11,52,301.6720693,151.964,22.98976928,128.9742307,785,220,180,40,2.7,0.95,0,0.95,6,2,1,1,20.84499244,5.6948672,4.34066354,1.35420366,55.525,37.81,0.315,37.495,123.8183139,87.1819,0.75982,86.42208,411.925,199,0.925,198.075,1.78725,0.94525,0,0.94525,3,1.99,0.01,1.98,10.19509096,5.666392864,0.028351925,5.638040939,298,365,437,3.008600172,K0.8Na0.2Sr0.995Eu0.005
2,0.995,0.005,0.99,131,63,11,52,301.6720693,151.964,22.98976928,128.9742307,785,220,180,40,2.7,0.95,0,0.95,6,2,1,1,20.84499244,5.6948672,4.34066354,1.35420366,53.925,37.81,0.315,37.495,120.5966077,87.1819,0.75982,86.42208,403.925,199,0.925,198.075,1.80925,0.94525,0,0.94525,3,1.99,0.01,1.98,10.35477359,5.666392864,0.028351925,5.638040939,298,365,440,3.025305865,K0.6Na0.4Sr0.995Eu0.005
21,12,0.05,11.95,141,63,8,55,322.006762,151.964,15.999,135.965,645,200,60,140,9.74,3.44,0,3.44,22,7,2,5,48.4376222,13.618054,5.670385,7.947669,349.25,188.1,3.15,184.95,761.676486,433.719,7.5982,426.1208,2119.25,990,9.25,980.75,55.7125,41.28,0,41.28,104,72,0.1,71.9,236.3174479,163.416648,0.28351925,163.1331288,298,277,444,2.67171884,Sr4.95P3O12ClEu0.05
