Atomic Ratio_sum,Atomic Ratio_max,Atomic Ratio_min,Atomic Ratio_diff,Atomic Number_sum,Atomic Number_max,Atomic Number_min,Atomic Number_diff,Atomic Weight_sum,Atomic Weight_max,Atomic Weight_min,Atomic Weight_diff,Atomic Radius_sum,Atomic Radius_max,Atomic Radius_min,Atomic Radius_diff,EN pauling_sum,EN pauling_max,EN pauling_min,EN pauling_diff,Valence Electron_sum,Valence Electron_max,Valence Electron_min,Valence Electron_diff,Ionization Energy_sum,Ionization Energy_max,Ionization Energy_min,Ionization Energy_diff,ARW_Atomic Number_sum,ARW_Atomic Number_max,ARW_Atomic Number_min,ARW_Atomic Number_diff,ARW_Atomic Weight_sum,ARW_Atomic Weight_max,ARW_Atomic Weight_min,ARW_Atomic Weight_diff,ARW_Atomic Radius_sum,ARW_Atomic Radius_max,ARW_Atomic Radius_min,ARW_Atomic Radius_diff,ARW_EN pauling_sum,ARW_EN pauling_max,ARW_EN pauling_min,ARW_EN pauling_diff,ARW_Valence Electron_sum,ARW_Valence Electron_max,ARW_Valence Electron_min,ARW_Valence Electron_diff,ARW_Ionization Energy_sum,ARW_Ionization Energy_max,ARW_Ionization Energy_min,ARW_Ionization Energy_diff,Temp. (K),Monitoring energy (nm),1st Excitation max. (nm),Formula
21,12,0.005,11.995,141,63,8,55,322.006762,151.964,15.999,135.965,645,200,60,140,9.74,3.44,0,3.44,22,7,2,5,48.4376222,13.618054,5.670385,7.947669,348.125,189.81,0.315,189.495,758.781006,437.6619,0.75982,436.90208,2119.925,999,0.925,998.075,55.75525,41.28,0,41.28,104,72,0.01,71.99,236.3185496,163.416648,0.028351925,163.3882961,298,444,277,Sr4.995P3O12ClEu0.005
21,12,0.01,11.99,141,63,8,55,322.006762,151.964,15.999,135.965,645,200,60,140,9.74,3.44,0,3.44,22,7,2,5,48.4376222,13.618054,5.670385,7.947669,348.25,189.62,0.63,188.99,759.102726,437.2238,1.51964,435.70416,2119.85,998,1.85,996.15,55.7505,41.28,0,41.28,104,72,0.02,71.98,236.3184272,163.416648,0.05670385,163.3599442,298,444,277,Sr4.99P3O12ClEu0.01
21,12,0.02,11.98,141,63,8,55,322.006762,151.964,15.999,135.965,645,200,60,140,9.74,3.44,0,3.44,22,7,2,5,48.4376222,13.618054,5.670385,7.947669,348.5,189.24,1.26,187.98,759.746166,436.3476,3.03928,433.30832,2119.7,996,3.7,992.3,55.741,41.28,0,41.28,104,72,0.04,71.96,236.3181824,163.416648,0.1134077,163.3032403,298,444,277,Sr4.98P3O12ClEu0.02
21,12,0.03,11.97,141,63,8,55,322.006762,151.964,15.999,135.965,645,200,60,140,9.74,3.44,0,3.44,22,7,2,5,48.4376222,13.618054,5.670385,7.947669,348.75,188.86,1.89,186.97,760.389606,435.4714,4.55892,430.91248,2119.55,994,5.55,988.45,55.7315,41.28,0,41.28,104,72,0.06,71.94,236.3179375,163.416648,0.17011155,163.2465365,298,444,277,Sr4.97P3O12ClEu0.03
21,12,0.05,11.95,141,63,8,55,322.006762,151.964,15.999,135.965,645,200,60,140,9.74,3.44,0,3.44,22,7,2,5,48.4376222,13.618054,5.670385,7.947669,349.25,188.1,3.15,184.95,761.676486,433.719,7.5982,426.1208,2119.25,990,9.25,980.75,55.7125,41.28,0,41.28,104,72,0.1,71.9,236.3174479,163.416648,0.28351925,163.1331288,298,444,277,Sr4.95P3O12ClEu0.05
32,19,0.01,18.99,140,63,8,55,332.2715385,151.964,15.999,135.965,585,215,60,155,5.94,3.44,0,3.44,13,6,2,4,30.4858714,13.618054,5.211664,8.40639,364.07,156,0.63,155.37,765.232832,323.778462,1.51964,322.258822,2854.7,1500,1.85,1498.15,85.5611,65.36,0,65.36,152,114,0.02,113.98,335.788498,258.743026,0.05670385,258.6863221,298,445,350,Ba0.99Al12O19Eu0.01
32,19,0.03,18.97,140,63,8,55,332.2715385,151.964,15.999,135.965,585,215,60,155,5.94,3.44,0,3.44,13,6,2,4,30.4858714,13.618054,5.211664,8.40639,364.21,156,1.89,154.11,765.525572,323.778462,4.55892,319.219542,2854.1,1500,5.55,1494.45,85.5433,65.36,0,65.36,152,114,0.06,113.94,335.7976724,258.743026,0.17011155,258.5729145,298,445,350,Ba0.97Al12O19Eu0.03
32,19,0.05,18.95,140,63,8,55,332.2715385,151.964,15.999,135.965,585,215,60,155,5.94,3.44,0,3.44,13,6,2,4,30.4858714,13.618054,5.211664,8.40639,364.35,156,3.15,152.85,765.818312,323.778462,7.5982,316.180262,2853.5,1500,9.25,1490.75,85.5255,65.36,0,65.36,152,114,0.1,113.9,335.8068469,258.743026,0.28351925,258.4595068,298,445,350,Ba0.95Al12O19Eu0.05
32,19,0.07,18.93,140,63,8,55,332.2715385,151.964,15.999,135.965,585,215,60,155,5.94,3.44,0,3.44,13,6,2,4,30.4858714,13.618054,5.211664,8.40639,364.49,156,4.41,151.59,766.111052,323.778462,10.63748,313.140982,2852.9,1500,12.95,1487.05,85.5077,65.36,0,65.36,152,114,0.14,113.86,335.8160213,258.743026,0.39692695,258.346099,298,445,350,Ba0.93Al12O19Eu0.07
32,19,0.1,18.9,140,63,8,55,332.2715385,151.964,15.999,135.965,585,215,60,155,5.94,3.44,0,3.44,13,6,2,4,30.4858714,13.618054,5.211664,8.40639,364.7,156,6.3,149.7,766.550162,323.778462,15.1964,308.582062,2852,1500,18.5,1481.5,85.481,65.36,0,65.36,152,114,0.2,113.8,335.8297829,258.743026,0.5670385,258.1759875,298,445,350,Ba0.9Al12O19Eu0.1
32,19,0.2,18.8,140,63,8,55,332.2715385,151.964,15.999,135.965,585,215,60,155,5.94,3.44,0,3.44,13,6,2,4,30.4858714,13.618054,5.211664,8.40639,365.4,156,12.6,143.4,768.013862,323.778462,30.3928,293.385662,2849,1500,37,1463,85.392,65.36,0,65.36,152,114,0.4,113.6,335.875655,258.743026,1.134077,257.608949,298,445,350,Ba0.8Al12O19Eu0.2
32,19,0.25,18.75,140,63,8,55,332.2715385,151.964,15.999,135.965,585,215,60,155,5.94,3.44,0,3.44,13,6,2,4,30.4858714,13.618054,5.211664,8.40639,365.75,156,15.75,140.25,768.745712,323.778462,37.991,285.787462,2847.5,1500,46.25,1453.75,85.3475,65.36,0,65.36,152,114,0.5,113.5,335.898591,258.743026,1.41759625,257.3254298,298,445,350,Ba0.75Al12O19Eu0.25
