Atomic Ratio_sum,Atomic Ratio_max,Atomic Ratio_min,Atomic Ratio_diff,Atomic Number_sum,Atomic Number_max,Atomic Number_min,Atomic Number_diff,Atomic Weight_sum,Atomic Weight_max,Atomic Weight_min,Atomic Weight_diff,Atomic Radius_sum,Atomic Radius_max,Atomic Radius_min,Atomic Radius_diff,EN pauling_sum,EN pauling_max,EN pauling_min,EN pauling_diff,Valence Electron_sum,Valence Electron_max,Valence Electron_min,Valence Electron_diff,Ionization Energy_sum,Ionization Energy_max,Ionization Energy_min,Ionization Energy_diff,ARW_Atomic Number_sum,ARW_Atomic Number_max,ARW_Atomic Number_min,ARW_Atomic Number_diff,ARW_Atomic Weight_sum,ARW_Atomic Weight_max,ARW_Atomic Weight_min,ARW_Atomic Weight_diff,ARW_Atomic Radius_sum,ARW_Atomic Radius_max,ARW_Atomic Radius_min,ARW_Atomic Radius_diff,ARW_EN pauling_sum,ARW_EN pauling_max,ARW_EN pauling_min,ARW_EN pauling_diff,ARW_Valence Electron_sum,ARW_Valence Electron_max,ARW_Valence Electron_min,ARW_Valence Electron_diff,ARW_Ionization Energy_sum,ARW_Ionization Energy_max,ARW_Ionization Energy_min,ARW_Ionization Energy_diff,Excitation source (nm),Temp. (K),Ext. quantum efficiency (%),Formula
16.14,10,0.04,9.96,178,63,8,55,412.618044,151.964,15.999,135.965,860,215,60,155,9.09,3.44,0,3.44,23,7,2,5,47.732039,13.618054,5.211664,8.40639,209.02,80,2.5,77.5,445.5343644,159.99,5.4938044,154.4961956,1426.4,600,7.4,592.6,44.355,34.4,0,34.4,80.78,60,0.08,59.92,182.6153882,136.18054,0.2268154,135.9537246,360,298,38.5,BaMgSi4O10Eu0.04Mn0.1
16.16,10,0.04,9.96,178,63,8,55,412.618044,151.964,15.999,135.965,860,215,60,155,9.09,3.44,0,3.44,23,7,2,5,47.732039,13.618054,5.211664,8.40639,209.52,80,2.52,77.48,446.6331253,159.99,6.07856,153.91144,1429.2,600,7.4,592.6,44.386,34.4,0,34.4,80.92,60,0.08,59.92,182.7640686,136.18054,0.2268154,135.9537246,360,298,38.5,BaMgSi4O10Eu0.04Mn0.12
16.06,10,0.02,9.98,178,63,8,55,412.618044,151.964,15.999,135.965,860,215,60,155,9.09,3.44,0,3.44,23,7,2,5,47.732039,13.618054,5.211664,8.40639,207.02,80,0.5,79.5,441.1393209,159.99,1.09876088,158.8912391,1415.2,600,2.8,597.2,44.231,34.4,0,34.4,80.22,60,0.08,59.92,182.0206668,136.18054,0.14868036,136.0318596,360,298,42,BaMgSi4O10Eu0.04Mn0.02
16.12,10,0.04,9.96,178,63,8,55,412.618044,151.964,15.999,135.965,860,215,60,155,9.09,3.44,0,3.44,23,7,2,5,47.732039,13.618054,5.211664,8.40639,208.52,80,2,78,444.4356035,159.99,4.39504352,155.5949565,1423.6,600,7.4,592.6,44.324,34.4,0,34.4,80.64,60,0.08,59.92,182.4667078,136.18054,0.2268154,135.9537246,360,298,42,BaMgSi4O10Eu0.04Mn0.08
7,4,0.8,3.2,105,63,8,55,236.126,151.964,15.999,135.965,535,185,60,125,6.34,3.44,0,3.44,14,6,2,4,33.5532772,13.618054,5.670385,7.947669,120.4,50.4,14,36.4,261.7458,121.5712,28.085,93.4862,714,240,110,130,16.86,13.76,0,13.76,32,24,1.6,22.4,74.49599324,54.472216,4.536308,49.935908,450,298,44,Ca1.2SiO4Eu0.8
16.1,10,0.04,9.96,178,63,8,55,412.618044,151.964,15.999,135.965,860,215,60,155,9.09,3.44,0,3.44,23,7,2,5,47.732039,13.618054,5.211664,8.40639,208.02,80,1.5,78.5,443.3368426,159.99,3.29628264,156.6937174,1420.8,600,7.4,592.6,44.293,34.4,0,34.4,80.5,60,0.08,59.92,182.3180275,136.18054,0.2268154,135.9537246,360,298,47,BaMgSi4O10Eu0.04Mn0.06
16.08,10,0.04,9.96,178,63,8,55,412.618044,151.964,15.999,135.965,860,215,60,155,9.09,3.44,0,3.44,23,7,2,5,47.732039,13.618054,5.211664,8.40639,207.52,80,1,79,442.2380818,159.99,2.19752176,157.7924782,1418,600,5.6,594.4,44.262,34.4,0,34.4,80.36,60,0.08,59.92,182.1693471,136.18054,0.2268154,135.9537246,360,298,47.5,BaMgSi4O10Eu0.04Mn0.04
16.04,10,0.04,9.96,153,63,8,55,357.68,151.964,15.999,135.965,720,215,60,155,7.54,3.44,0,3.44,16,6,2,4,40.298021,13.618054,5.211664,8.40639,206.52,80,2.52,77.48,440.04056,159.99,6.07856,153.91144,1412.4,600,7.4,592.6,44.2,34.4,0,34.4,80.08,60,0.08,59.92,181.8719864,136.18054,0.2268154,135.9537246,360,298,51.7,BaMgSi4O10Eu0.04
42,26,0.06,25.94,170,65,8,57,395.05135,158.92535,15.999,142.92635,710,185,60,125,6.34,3.44,0,3.44,16,6,2,4,39.4170772,13.618054,5.670385,7.947669,851.88,516.1,3.78,512.32,1935.625119,1261.867279,9.11784,1252.749439,3980.6,1560,11.1,1548.9,102.84,89.44,0,89.44,200,156,0.12,155.88,462.1046075,354.069404,0.3402231,353.7291809,238,298,52,Ca2Tb7.94Si6O26Eu0.06
12,8,0.2,7.8,212,74,3,71,515.993,183.84,6.94,176.9,705,185,60,125,7.32,3.44,0,3.44,17,6,1,5,38.69397976,13.618054,5.391714761,8.226339239,278.2,148,3,145,655.6332,367.68,6.94,360.74,1079,480,36,444,32.14,27.52,0,27.52,63,48,0.4,47.6,135.830474,108.944432,1.2299592,107.7144728,395,298,54,LiGd0.2W2O8Eu0.8
13.13,8,0.04,7.96,123,63,8,55,278.179806,151.964,15.999,135.965,635,185,60,125,8.49,3.44,0,3.44,22,7,2,5,44.855378,13.618054,5.670385,7.947669,134.77,64,2.25,61.75,273.877508,127.992,4.94442396,123.047576,1150,480,7.4,472.6,35.9695,27.52,0,27.52,64.71,48,0.08,47.92,153.752386,108.944432,0.2268154,108.7176166,378,298,58.57,Mg3P2O8Eu0.04Mn0.09
21.75,15,0.75,14.25,152,63,8,55,352.81884,151.964,15.999,135.965,570,185,60,125,6.82,3.44,0,3.44,17,6,2,4,32.598129,13.618054,5.670385,7.947669,413.25,168,47.25,120.75,915.56968,383.8,113.973,269.827,1978.75,900,138.75,761.25,62.68,51.6,0,51.6,121.5,90,1.5,88.5,249.3278388,204.27081,4.25278875,200.0180213,393.5,298,59,Y2Mo4O15Eu0.75
