Atomic Ratio_sum,Atomic Ratio_max,Atomic Ratio_min,Atomic Ratio_diff,Atomic Number_sum,Atomic Number_max,Atomic Number_min,Atomic Number_diff,Atomic Weight_sum,Atomic Weight_max,Atomic Weight_min,Atomic Weight_diff,Atomic Radius_sum,Atomic Radius_max,Atomic Radius_min,Atomic Radius_diff,EN pauling_sum,EN pauling_max,EN pauling_min,EN pauling_diff,Valence Electron_sum,Valence Electron_max,Valence Electron_min,Valence Electron_diff,Ionization Energy_sum,Ionization Energy_max,Ionization Energy_min,Ionization Energy_diff,ARW_Atomic Number_sum,ARW_Atomic Number_max,ARW_Atomic Number_min,ARW_Atomic Number_diff,ARW_Atomic Weight_sum,ARW_Atomic Weight_max,ARW_Atomic Weight_min,ARW_Atomic Weight_diff,ARW_Atomic Radius_sum,ARW_Atomic Radius_max,ARW_Atomic Radius_min,ARW_Atomic Radius_diff,ARW_EN pauling_sum,ARW_EN pauling_max,ARW_EN pauling_min,ARW_EN pauling_diff,ARW_Valence Electron_sum,ARW_Valence Electron_max,ARW_Valence Electron_min,ARW_Valence Electron_diff,ARW_Ionization Energy_sum,ARW_Ionization Energy_max,ARW_Ionization Energy_min,ARW_Ionization Energy_diff,Temp. (K),Monitoring energy (nm),2nd Excitation max. (nm),Formula
11,7,0.05,6.95,168,63,8,55,398.09247,151.964,15.999,135.965,595,195,60,135,5.87,3.44,0,3.44,15,6,2,4,31.499239,13.618054,5.5769,8.041154,250.3,111.15,3.15,108,572.9048665,270.8656665,7.5982,263.2674665,1119.5,420,9.25,410.75,28.885,24.08,0,24.08,55.95,42,0.1,41.9,119.7526523,95.326378,0.28351925,95.04285875,323,586,465,La1.95Zr2O7Eu0.05
11,7,0.05,6.95,168,63,8,55,398.09247,151.964,15.999,135.965,595,195,60,135,5.87,3.44,0,3.44,15,6,2,4,31.499239,13.618054,5.5769,8.041154,250.3,111.15,3.15,108,572.9048665,270.8656665,7.5982,263.2674665,1119.5,420,9.25,410.75,28.885,24.08,0,24.08,55.95,42,0.1,41.9,119.7526523,95.326378,0.28351925,95.04285875,373,586,465,La1.95Zr2O7Eu0.05
11,7,0.05,6.95,168,63,8,55,398.09247,151.964,15.999,135.965,595,195,60,135,5.87,3.44,0,3.44,15,6,2,4,31.499239,13.618054,5.5769,8.041154,250.3,111.15,3.15,108,572.9048665,270.8656665,7.5982,263.2674665,1119.5,420,9.25,410.75,28.885,24.08,0,24.08,55.95,42,0.1,41.9,119.7526523,95.326378,0.28351925,95.04285875,423,586,465,La1.95Zr2O7Eu0.05
11,7,0.05,6.95,168,63,8,55,398.09247,151.964,15.999,135.965,595,195,60,135,5.87,3.44,0,3.44,15,6,2,4,31.499239,13.618054,5.5769,8.041154,250.3,111.15,3.15,108,572.9048665,270.8656665,7.5982,263.2674665,1119.5,420,9.25,410.75,28.885,24.08,0,24.08,55.95,42,0.1,41.9,119.7526523,95.326378,0.28351925,95.04285875,473,586,465,La1.95Zr2O7Eu0.05
11,7,0.05,6.95,168,63,8,55,398.09247,151.964,15.999,135.965,595,195,60,135,5.87,3.44,0,3.44,15,6,2,4,31.499239,13.618054,5.5769,8.041154,250.3,111.15,3.15,108,572.9048665,270.8656665,7.5982,263.2674665,1119.5,420,9.25,410.75,28.885,24.08,0,24.08,55.95,42,0.1,41.9,119.7526523,95.326378,0.28351925,95.04285875,523,586,465,La1.95Zr2O7Eu0.05
11,7,0.05,6.95,168,63,8,55,398.09247,151.964,15.999,135.965,595,195,60,135,5.87,3.44,0,3.44,15,6,2,4,31.499239,13.618054,5.5769,8.041154,250.3,111.15,3.15,108,572.9048665,270.8656665,7.5982,263.2674665,1119.5,420,9.25,410.75,28.885,24.08,0,24.08,55.95,42,0.1,41.9,119.7526523,95.326378,0.28351925,95.04285875,573,586,465,La1.95Zr2O7Eu0.05
24,15,0.1,14.9,136,63,8,55,310.861762,151.964,15.999,135.965,695,200,60,140,7.89,3.44,0,3.44,17,6,2,4,43.1162272,13.618054,5.670385,7.947669,294.5,120,6.3,113.7,618.469448,239.985,15.1964,224.7886,2148.5,900,18.5,881.5,66.095,51.6,0,51.6,120,90,0.2,89.8,280.5435452,204.27081,0.5670385,203.7037715,298,589,463,Sr1.9Mg3P4O15Eu0.1
11,7,0.1,6.9,132,63,8,55,304.73584,151.964,15.999,135.965,565,185,60,125,6.2,3.44,0,3.44,15,6,2,4,32.333819,13.618054,5.670385,7.947669,180.4,74.1,6.3,67.8,391.844496,168.921096,15.1964,153.724696,1060.5,420,18.5,401.5,29.478,24.08,0,24.08,55.9,42,0.2,41.8,121.3624505,95.326378,0.5670385,94.7593395,298,591,375,Y1.9Ti2O7Eu0.1
11,7,0.3,6.7,132,63,8,55,304.73584,151.964,15.999,135.965,565,185,60,125,6.2,3.44,0,3.44,15,6,2,4,32.333819,13.618054,5.670385,7.947669,185.2,66.3,18.9,47.4,404.456128,151.139928,45.5892,105.550728,1061.5,420,55.5,364.5,29.234,24.08,0,24.08,55.7,42,0.6,41.4,121.2530755,95.326378,1.7011155,93.6252625,298,591,375,Y1.7Ti2O7Eu0.3
11,7,0.45,6.55,132,63,8,55,304.73584,151.964,15.999,135.965,565,185,60,125,6.2,3.44,0,3.44,15,6,2,4,32.333819,13.618054,5.670385,7.947669,188.8,60.45,28.35,32.1,413.914852,137.804052,68.3838,69.420252,1062.25,420,83.25,336.75,29.051,24.08,0,24.08,55.55,42,0.9,41.1,121.1710443,95.326378,2.55167325,92.77470475,298,591,375,Y1.55Ti2O7Eu0.45
4.03,3,0.03,2.97,136,64,9,55,328.2124032,157.25,18.99840316,138.2515968,415,185,50,135,5.18,3.98,0,3.98,11,7,2,5,29.243001,17.42282,5.670385,11.752435,92.89,64,1.89,62.11,218.8041295,157.25,4.55892,152.69108,335.55,180,5.55,174.45,13.14,11.94,0,11.94,23.06,21,0.06,20.94,58.58836755,52.26846,0.17011155,52.09834845,298,591,393,GdF3Eu0.03
26,15,0.7,14.3,171,63,5,58,405.00584,151.964,10.81,141.154,725,215,60,155,7.59,3.44,0,3.44,16,6,2,4,39.015382,13.618054,5.211664,8.40639,412.8,168,30,138,938.778392,411.981,64.86,347.121,2418.5,900,129.5,770.5,68.096,51.6,0,51.6,119.3,90,1.4,88.6,281.7456235,204.27081,3.9692695,200.3015405,298,593,382,Ba3Y1.3B6O15Eu0.7
5.01,3,0.01,2.99,131,63,8,55,299.265,151.964,15.999,135.965,580,185,60,125,5.77,3.44,0,3.44,14,6,2,4,32.0354942,13.618054,5.670385,7.947669,84.63,40,0.63,39.37,180.81864,91.224,1.51964,89.70436,516.85,180,1.85,178.15,12.65,10.32,0,10.32,24.02,18,0.02,17.98,53.65792105,40.854162,0.05670385,40.79745815,298,593,593,CaZrO3Eu0.01
5.02,3,0.02,2.98,131,63,8,55,299.265,151.964,15.999,135.965,580,185,60,125,5.77,3.44,0,3.44,14,6,2,4,32.0354942,13.618054,5.670385,7.947669,85.26,40,1.26,38.74,182.33828,91.224,3.03928,88.18472,518.7,180,3.7,176.3,12.65,10.32,0,10.32,24.04,18,0.04,17.96,53.7146249,40.854162,0.1134077,40.7407543,298,593,593,CaZrO3Eu0.02
5.03,3,0.03,2.97,131,63,8,55,299.265,151.964,15.999,135.965,580,185,60,125,5.77,3.44,0,3.44,14,6,2,4,32.0354942,13.618054,5.670385,7.947669,85.89,40,1.89,38.11,183.85792,91.224,4.55892,86.66508,520.55,180,5.55,174.45,12.65,10.32,0,10.32,24.06,18,0.06,17.94,53.77132875,40.854162,0.17011155,40.68405045,298,593,593,CaZrO3Eu0.03
5.04,3,0.04,2.96,131,63,8,55,299.265,151.964,15.999,135.965,580,185,60,125,5.77,3.44,0,3.44,14,6,2,4,32.0354942,13.618054,5.670385,7.947669,86.52,40,2.52,37.48,185.37756,91.224,6.07856,85.14544,522.4,180,7.4,172.6,12.65,10.32,0,10.32,24.08,18,0.08,17.92,53.8280326,40.854162,0.2268154,40.6273466,298,593,593,CaZrO3Eu0.04
5.05,3,0.05,2.95,131,63,8,55,299.265,151.964,15.999,135.965,580,185,60,125,5.77,3.44,0,3.44,14,6,2,4,32.0354942,13.618054,5.670385,7.947669,87.15,40,3.15,36.85,186.8972,91.224,7.5982,83.6258,524.25,180,9.25,170.75,12.65,10.32,0,10.32,24.1,18,0.1,17.9,53.88473645,40.854162,0.28351925,40.57064275,298,593,593,CaZrO3Eu0.05
10,6,0.05,5.95,114,63,9,54,263.6751724,151.964,18.99840316,132.9655968,545,185,50,135,6.72,3.98,0,3.98,13,7,1,6,34.2315835,17.42282,5.1390767,12.2837433,119.6,54,3.15,50.85,256.7947768,113.990419,7.5982,106.392219,972.75,540,9.25,530.75,28.3895,23.88,0,23.88,47.95,42,0.1,41.9,125.9370061,104.53692,0.28351925,104.2534008,298,595,466,Na3Ga0.95F6Eu0.05
10,6,0.07,5.93,114,63,9,54,263.6751724,151.964,18.99840316,132.9655968,545,185,50,135,6.72,3.98,0,3.98,13,7,1,6,34.2315835,17.42282,5.1390767,12.2837433,120.24,54,4.41,49.59,258.4395968,113.990419,10.63748,103.352939,973.85,540,12.95,527.05,28.3533,23.88,0,23.88,47.93,42,0.14,41.86,125.9304277,104.53692,0.39692695,104.1399931,298,595,466,Na3Ga0.93F6Eu0.07
9,5,0.01,4.99,198,63,3,60,474.97847,151.964,6.94,145.024,855,195,60,135,8.73,3.44,0,3.44,17,6,1,5,44.19878276,13.618054,5.391714761,8.226339239,163.55,99.18,0.62,98.56,378.9351178,241.6955178,1.5036,240.1919178,917.4,339.3,1.85,337.45,22.1457,17.2,0,17.2,39.74,30,0.02,29.98,92.95784311,68.09027,0.0564371,68.0338329,298,605,365,LiLa1.74O5BEu0.25Sm0.01
23.5,12,0.5,11.5,224,73,3,70,534.83435,180.94788,6.94,174.00788,910,195,60,135,8.02,3.44,0,3.44,19,6,1,5,43.91977896,13.618054,5.391714761,8.226339239,425.5,146,18,128,989.3947,361.89576,40.078,321.81776,2542.5,870,92.5,777.5,53.36,41.28,0,41.28,97,72,1,71,230.9682243,163.416648,2.8351925,160.5814555,298,608,394,Li6CaLa2Ta2O12Eu0.5
