Atomic Ratio_sum,Atomic Ratio_max,Atomic Ratio_min,Atomic Ratio_diff,Atomic Number_sum,Atomic Number_max,Atomic Number_min,Atomic Number_diff,Atomic Weight_sum,Atomic Weight_max,Atomic Weight_min,Atomic Weight_diff,Atomic Radius_sum,Atomic Radius_max,Atomic Radius_min,Atomic Radius_diff,EN pauling_sum,EN pauling_max,EN pauling_min,EN pauling_diff,Valence Electron_sum,Valence Electron_max,Valence Electron_min,Valence Electron_diff,Ionization Energy_sum,Ionization Energy_max,Ionization Energy_min,Ionization Energy_diff,ARW_Atomic Number_sum,ARW_Atomic Number_max,ARW_Atomic Number_min,ARW_Atomic Number_diff,ARW_Atomic Weight_sum,ARW_Atomic Weight_max,ARW_Atomic Weight_min,ARW_Atomic Weight_diff,ARW_Atomic Radius_sum,ARW_Atomic Radius_max,ARW_Atomic Radius_min,ARW_Atomic Radius_diff,ARW_EN pauling_sum,ARW_EN pauling_max,ARW_EN pauling_min,ARW_EN pauling_diff,ARW_Valence Electron_sum,ARW_Valence Electron_max,ARW_Valence Electron_min,ARW_Valence Electron_diff,ARW_Ionization Energy_sum,ARW_Ionization Energy_max,ARW_Ionization Energy_min,ARW_Ionization Energy_diff,Excitation source (nm),Thermal quenching temp. (K),Formula
45.005,28,0.005,27.995,163,63,8,55,377.920232,151.964,15.999,135.965,720,195,60,135,7.73,3.44,0,3.44,18,6,2,4,41.4651802,13.618054,5.5769,8.041154,566.315,224,0.315,223.685,1165.155624,447.972,0.75982,447.21218,4195.925,1680,0.925,1679.075,121.75,96.32,0,96.32,224.01,168,0.01,167.99,515.3359627,381.305512,0.028351925,381.2771601,365,483,Ca9LaP7O28Eu0.005
45.055,28,0.005,27.995,188,63,8,55,432.858276,151.964,15.999,135.965,860,195,60,135,9.28,3.44,0,3.44,25,7,2,5,48.8991982,13.618054,5.5769,8.041154,567.565,224,0.315,223.685,1167.902526,447.972,0.75982,447.21218,4202.925,1680,0.925,1679.075,121.8275,96.32,0,96.32,224.36,168,0.01,167.99,515.7076636,381.305512,0.028351925,381.2771601,365,483,Ca9LaP7O28Eu0.005Mn0.05
26,16,0.06,15.94,143,63,8,55,318.257806,151.964,15.999,135.965,815,185,60,125,9.49,3.44,0,3.44,24,7,2,5,50.9685332,13.618054,5.670385,7.947669,290.48,128,3.78,124.22,588.9311212,255.984,9.11784,246.86616,2347.3,960,11.1,948.9,70.742,55.04,0,55.04,129.5,96,0.12,95.88,301.0235473,217.888864,0.3402231,217.5486409,365,493,Ca2.94Mg2.7P4O16Eu0.06Mn0.3
12.03,6,0.03,5.97,213,64,5,59,508.8,157.25,10.81,146.44,825,215,60,155,10.73,3.44,0,3.44,22,7,2,5,51.915548,13.618054,5.211664,8.40639,252.89,112,1.89,110.11,589.52692,274.654,4.55892,270.09508,1245.55,430,5.55,424.45,30.86,20.64,0,20.64,55.06,36,0.06,35.94,128.0152276,81.708324,0.17011155,81.53821245,365,523,Ba2GdB2O6ClEu0.03
14.108,8,0.008,7.992,161,63,8,55,356.0408753,151.964,15.999,135.965,1065,220,60,160,9.93,3.44,0,3.44,24,7,1,6,52.80203844,13.618054,4.34066354,9.27739046,167.004,64,0.504,63.496,338.8931097,127.992,1.215712,126.776288,1455.48,480,1.48,478.52,35.805,27.52,0,27.52,64.716,48,0.016,47.984,152.4126195,108.944432,0.04536308,108.8990689,365,550,KNaCa2P2O8Eu0.008Mn0.1
26,16,0.06,15.94,118,63,8,55,263.319762,151.964,15.999,135.965,675,185,60,125,7.94,3.44,0,3.44,17,6,2,4,43.5345152,13.618054,5.670385,7.947669,286.58,128,3.78,124.22,579.741208,255.984,9.11784,246.86616,2350.3,960,11.1,948.9,70.67,55.04,0,55.04,128,96,0.12,95.88,301.0872124,217.888864,0.3402231,217.5486409,365,553,Ca2.94Mg3P4O16Eu0.06
21.15,12,0.03,11.97,208,63,8,55,472.3888184,151.964,15.999,135.965,1095,200,50,150,14.26,3.98,0,3.98,33,7,1,6,71.6831669,17.42282,5.1390767,12.2837433,318.89,114,1.89,112.11,689.8147837,262.86,4.55892,258.30108,2052.35,720,5.55,714.45,57.016,41.28,0,41.28,104.9,72,0.06,71.94,241.802658,163.416648,0.17011155,163.2465365,365,570,Sr3NaYP3O12FEu0.03Mn0.12
13,8,0.01,7.99,189,64,8,56,435.363062,157.25,15.999,141.251,925,220,60,160,8.65,3.44,0,3.44,18,6,1,5,46.37873974,13.618054,4.34066354,9.27739046,197.43,64,0.63,63.37,427.484684,157.25,1.51964,155.73036,1260.05,480,1.85,478.15,34.91,27.52,0,27.52,63,48,0.02,47.98,146.516991,108.944432,0.05670385,108.8877282,365,573,KCa0.99GdP2O8Eu0.01
20.37,12,0.02,11.98,142,63,8,55,317.278106,151.964,15.999,135.965,855,220,60,160,9.31,3.44,0,3.44,23,7,1,6,49.19604154,13.618054,4.34066354,9.27739046,218.01,96,1.26,94.74,443.4951814,191.988,3.03928,188.94872,1892.7,720,3.7,716.3,54.4525,41.28,0,41.28,98.49,72,0.04,71.96,232.5176235,163.416648,0.1134077,163.3032403,365,623,KMg4P3O12Eu0.02Mn0.35
12.03,6,0.03,5.97,220,71,5,66,526.5168,174.9668,10.81,164.1568,820,215,60,155,10.53,3.44,0,3.44,22,7,2,5,51.191623,13.618054,5.211664,8.40639,259.89,112,1.89,110.11,607.24372,274.654,4.55892,270.09508,1240.55,430,5.55,424.45,30.66,20.64,0,20.64,55.06,36,0.06,35.94,127.2913026,81.708324,0.17011155,81.53821245,365,673,Ba2LuB2O6ClEu0.03
